country,timestamp,temperature_celsius,feels_like,humidity_percent,pressure_hpa,wind_speed_mps,weather_description,cloudiness_percent,latitude,longitude,hour,day_of_week,day_of_month,month,is_weekend,temp_lag_1,temp_lag_2,temp_lag_4,humidity_lag_1,pressure_lag_1,temp_rolling_mean_24h,temp_rolling_std_24h,temp_rolling_max_24h,temp_rolling_min_24h,temp_change_6h,target_temp_24h,city_Cancún,city_Guadalajara,city_Mexico City,city_Monterrey,city_Toluca
MX,2025-11-06 08:47:28.553398,23.92,24.98,100,1015,2.82,light rain,99,21.1743,-86.8466,8,3,6,11,0,25.03,27.76,28.31,94.0,1018.0,26.255,2.116671916003987,28.31,23.92,-1.1099999999999994,23.92,True,False,False,False,False
MX,2025-11-06 14:47:28.582949,26.09,26.09,95,1017,0.0,light rain,100,21.1743,-86.8466,14,3,6,11,0,23.92,25.03,28.31,100.0,1015.0,25.700000000000003,1.6343194302216413,27.76,23.92,2.169999999999998,30.54,True,False,False,False,False
MX,2025-11-06 20:47:28.566501,28.96,34.42,79,1013,0.0,light rain,75,21.1743,-86.8466,20,3,6,11,0,26.09,23.92,27.76,95.0,1017.0,26.0,2.163099627848886,28.96,23.92,2.870000000000001,30.03,True,False,False,False,False
MX,2025-11-07 02:47:28.578127,24.96,25.97,94,1015,0.0,overcast clouds,100,21.1743,-86.8466,2,4,7,11,0,28.96,26.09,25.03,79.0,1013.0,25.9825,2.173819603064306,28.96,23.92,-4.0,23.92,True,False,False,False,False
MX,2025-11-07 08:47:28.595850,23.92,24.82,94,1013,2.06,clear sky,7,21.1743,-86.8466,8,4,7,11,0,24.96,28.96,23.92,94.0,1015.0,25.9825,2.173819603064306,28.96,23.92,-1.0399999999999991,22.96,True,False,False,False,False
MX,2025-11-07 14:47:28.604093,30.54,35.08,65,1014,2.52,clear sky,5,21.1743,-86.8466,14,4,7,11,0,23.92,24.96,26.09,94.0,1013.0,27.095,3.161492263683926,30.54,23.92,6.619999999999997,28.31,True,False,False,False,False
MX,2025-11-07 20:47:28.597468,30.03,33.3,62,1010,2.61,few clouds,15,21.1743,-86.8466,20,4,7,11,0,30.54,23.92,28.96,65.0,1014.0,27.362499999999997,3.4075834545906547,30.54,23.92,-0.509999999999998,31.09,True,False,False,False,False
MX,2025-11-08 02:47:28.585424,23.92,24.82,94,1012,1.47,clear sky,0,21.1743,-86.8466,2,5,8,11,1,30.03,30.54,24.96,62.0,1010.0,27.1025,3.6807279624190254,30.54,23.92,-6.109999999999999,24.96,True,False,False,False,False
MX,2025-11-08 08:47:28.586218,22.96,23.92,100,1011,0.0,light rain,20,21.1743,-86.8466,8,5,8,11,1,23.92,30.03,23.92,94.0,1012.0,26.8625,3.9768025263185143,30.54,22.96,-0.9600000000000009,24.96,True,False,False,False,False
MX,2025-11-08 14:47:28.598705,28.31,33.6,84,1013,0.0,light rain,20,21.1743,-86.8466,14,5,8,11,1,22.96,23.92,30.54,100.0,1011.0,26.305,3.4045508759110437,30.03,22.96,5.349999999999998,29.98,True,False,False,False,False
